Nama,Category,Place,Price,Rating,Comment,Rating,Link_gmaps,Images,
Taman Ayun Temple,Heritage and Culture,Badung,30000,4.6,6211,4.6,https://goo.gl/maps/D1NgMwXcempJAbw37,https://a.cdn-hotels.com/gdcs/production60/d1777/4239b2a4-1f8b-4cb3-b492-2b13a7036a80.jpg,
Beji Sangsit Temple (Cultural Heritage and Public Temple),Heritage and Culture,Buleleng,0,4.6,450,4.6,https://goo.gl/maps/XqCncVBFUcJwvRJNA,https://lovebali.baliprov.go.id/storage/touriest_destinations/img-1634397534616aed5e63686.png,
Tirta Empul Temple,Heritage and Culture,Gianyar,15000,4.6,14576,4.6,https://goo.gl/maps/3SBs2mxQv36oXwx4A,https://a.cdn-hotels.com/gdcs/production17/d497/53f32ae3-08c2-48b2-a32c-6d8a1761f597.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Agung Besakih Temple,Heritage and Culture,Karangasem,5000,4.6,8970,4.6,https://goo.gl/maps/27rLjync8oCUJuGu5,https://wisato.id/wp-content/uploads/2022/03/Pura-Agung-Besakih-2-6.jpg,
Goa Lawah Temple,Heritage and Culture,Klungkung,15000,4.6,4016,4.6,https://goo.gl/maps/aPdW4xeRZQ6nMkA7A,https://a.cdn-hotels.com/gdcs/production96/d1027/4d2104a3-294a-42e7-ab67-14d8fb360d9e.jpg,
Puseh Desa Batuan Temple,Heritage and Culture,Gianyar,10000,4.4,2324,4.4,https://goo.gl/maps/QiiDDTozyxoLHJ6D9,https://a.cdn-hotels.com/gdcs/production48/d1682/e9836f9d-a49f-4093-b8ae-0dbd475086cd.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Uluwatu Fire and Kecak Dance,Heritage and Culture,Badung,150000,4.6,2371,4.6,https://g.page/tari-kecak-uluwatu?share,https://www.raftingbali.net/wp-content/uploads/2020/01/Kecak-Dance-Bali-Feature-Image.jpg,
Luhur Uluwatu Temple,Heritage and Culture,Badung,30000,4.6,27257,4.6,https://g.page/Uluwatu?share,https://a.cdn-hotels.com/gdcs/production142/d1653/b667788d-ebdf-4b27-8bab-22bc59175055.jpg,
Saraswati Temple,Heritage and Culture,Gianyar,80000,4.4,2957,4.4,https://goo.gl/maps/YMh8PsNGHV547wE76,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/f4/01/saraswati-temple-in-ubud.jpg?w=1200&h=-1&s=1,
Taman Sari Semarapura Temple,Heritage and Culture,Klungkung,0,4.9,12,4.9,https://goo.gl/maps/ycoHyZJYdGbmywGZ7,https://4.bp.blogspot.com/-BWiCc6a88KE/W9AhG2Fm7LI/AAAAAAAAY5Q/NO4q6aMxsSUfvzBzRnEU0mtK4NbSMjyTQCLcBGAs/s1600/sari_1c.jpg,
Maduwe Karang Temple,Heritage and Culture,Buleleng,0,4.6,182,4.6,https://goo.gl/maps/BNmt2eehQctNxSdb6,https://www.balitravelhub.com/wp-content/uploads/2017/08/Meduwe-Karang-Hindu-Temple-03.jpg,
Tirta Gangga,Heritage and Culture,Karangasem,25000,4.6,11265,4.6,https://g.page/Taman-Tirtagangga?share,https://natantransport.com/wp-content/uploads/2019/04/Tirta-Gangga.jpg,
Sada Puru Temple (Kahyangan Jagat),Heritage and Culture,Badung,15000,4.7,136,4.7,https://goo.gl/maps/YeSBy8xvdwJRCbt29,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1,
Sasih Penataran Temple,Heritage and Culture,Gianyar,10000,4.7,324,4.7,https://goo.gl/maps/2z4d326X2iJyJdnGA,https://img-asset-01.visitbali.id/skg0Xqe0H6XKktFwyoFBiG0XttH5laGjzHASQ73wsWE/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9KdW4vMjcvNWQxNGFhMzZhOWZjMDQxZjEuanBn.jpg,
Kertha Gosa Park,Heritage and Culture,Klungkung,15000,4.5,2985,4.5,https://goo.gl/maps/PGin3FJvD1q24fCE7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c3/3b/7d/templo.jpg?w=1200&h=1200&s=1,
Dalem Balingkang Temple,Heritage and Culture,Bangli,0,4.8,297,4.8,https://goo.gl/maps/Wjzx3BMobjrhg9iX8,http://www.balitoursclub.net/wp-content/uploads/2017/05/Gedong-linggih-Ratu-Mas-Subandar-Kang-Cing-We.jpg,
Ulundanu Beratan Temple,Heritage and Culture,Tabanan,20000,4.7,25962,4.7,https://goo.gl/maps/4b7RAHD1vGo4kqb6A,https://a.cdn-hotels.com/gdcs/production62/d679/115f67b3-1da1-4c57-93c5-9e8f7635e571.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Tanah Lot Beach,Heritage and Culture,Tabanan,15000,4.6,71776,4.6,https://goo.gl/maps/ef9Ze95kDpJZBLcs8,https://i2.wp.com/www.agoda.com/wp-content/uploads/2020/01/Sunrise-Tanah-Lot-Temple.jpg?ssl=1,
Luhur Tambawaras Temple,Heritage and Culture,Tabanan,15000,4.6,378,4.6,https://goo.gl/maps/SiC3AETPL8omFErHA,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Luhur-Tambawaras-Tabanan.jpg,
Ponjok Batu Temple,Heritage and Culture,Buleleng,0,4.7,455,4.7,https://goo.gl/maps/PANcF23gnhWTfSof8,https://www.kintamani.id/wp-content/uploads/Pura-Ponjok-Batu-Buleleng-3-1024x680.jpg,
Penataran Agung Lempuyang Temple,Heritage and Culture,Karangasem,50000,4.4,5745,4.4,https://goo.gl/maps/yE4ANys7vWPCpkjNA,https://www.balitoursclub.net/wp-content/uploads/2017/10/Paket-Lempuyang-tour-Karangasem.jpg,
Kehen Temple,Heritage and Culture,Bangli,10000,4.6,568,4.6,https://goo.gl/maps/2s12FCVNMBEy9AGp7,https://www.kintamani.indonesia-tourism.com/images/kehen_temple.jpg,
Kebo Edan Temple,Heritage and Culture,Gianyar,0,4.7,137,4.7,https://goo.gl/maps/gkod1HpTihPEfPS18,https://img-asset-01.visitbali.id/TAhpycv-oT5sKWjWWxpSZIjut3pAaVWElzzPva13iRA/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9TZXAvMTcvNWQ4MGE4MTU2NjY1ZmYxYjYuanBn.jpg,
Mengening Temple,Heritage and Culture,Gianyar,0,4.7,598,4.7,https://goo.gl/maps/DTPjQTYc7dw2qk158,https://media-cdn.tripadvisor.com/media/photo-s/14/f7/f9/c6/pura-mengening.jpg,
Pegulingan Temple,Heritage and Culture,Gianyar,0,4.6,60,4.6,https://goo.gl/maps/jms6eoUNkioE3MR36,https://ubud.id/wp-content/uploads/2020/07/Screen-Shot-2020-07-24-at-19.20.59.png,
Luhur Besikalung Temple,Heritage and Culture,Tabanan,0,4.7,146,4.7,https://goo.gl/maps/Dc1wHgqQCBtKZdyL6,https://www.kintamani.id/wp-content/uploads/ura-Luhur-Besi-Kalung-1.jpg,
Tebing Gunung Kawi Temple,Heritage and Culture,Gianyar,30000,4.7,49,4.7,https://goo.gl/maps/6V36x28MQWxpjUn7A,https://2.bp.blogspot.com/-A4kNWsldgTE/W4-e6fgZlzI/AAAAAAAAPW8/uj-N0LTkVvMf-xe5UmQiYjpmcaM3ZiQggCLcBGAs/s1600/0_IMG-20180712-WA0028.jpg,
Elephant Cava,Heritage and Culture,Gianyar,30000,4.2,6379,4.2,https://g.page/goa-gajah?share,https://balicheapesttours.com/dummy/goa-gajah1.jpg,
Dasar Buana Gelgel Temple,Heritage and Culture,Klungkung,0,4.7,610,4.7,https://goo.gl/maps/1kP1TaNVS5ysS5W58,https://panbelog.files.wordpress.com/2014/11/pura-dasar-bhuwana.jpg?w=640,
Subak Pulagan,Heritage and Culture,Gianyar,0,4.5,151,4.5,https://goo.gl/maps/zNf6ZDEpCe498urr7,https://img.okezone.com/content/2017/08/13/406/1755229/subak-pulagan-warisan-era-keemasan-prabu-udayana-yang-keramat-pK9IY1q3vj.jpg,
Puri Agung Jro Kuta,Heritage and Culture,Denpasar,0,4.6,329,4.6,https://goo.gl/maps/UWs3nx35MPbvn3eS6,http://3.bp.blogspot.com/-dTf2H3wcJXc/VTcPT9GTF9I/AAAAAAAAAAk/o6md9rXwIMM/s1600/1.jpg,
Penglipuran Village,Heritage and Culture,Bangli,25000,4.8,9693,4.8,https://goo.gl/maps/N4V3iVpFmGHWJDWN6,https://www.indonesia.travel/content/dam/indtravelrevamp/en/trip-ideas/experience-a-traditional-living-atmosphere-at-penglipuran-village-bali/image-1.jpg,
Kahyangan Jagat,Heritage and Culture,Tabanan,0,4.7,137,4.7,https://goo.gl/maps/46o12BCvTDjZruf16,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1,
Yadnya Museum,Heritage and Culture,Badung,0,4.7,14,4.7,https://goo.gl/maps/ae3czmWcYeVEkeuM9,https://indonesiakaya.com/wp-content/uploads/2020/10/7__IMG_7743_Sejumlah_koleksi_ogoh-ogoh_yang_merupakan_bagian_dari_perangkat_dari_ritual_bhuta_yadnya_2.jpg,
Tegallingah Cliff Temple,Heritage and Culture,Gianyar,0,4.6,14,4.6,https://goo.gl/maps/sLC6e3hTNQJGXYkz6,https://balitripholidays.files.wordpress.com/2016/02/6.jpg,
Bajra Sandhi Monument,Heritage and Culture,Denpasar,0,4.6,12047,4.6,https://goo.gl/maps/RK5iLNcBxvkMcVeZ9,https://asset.kompas.com/crops/0kZ_Ah3oLQiKbkJ5qKbxLQfgIXA=/0x51:1000x717/750x500/data/photo/2020/02/26/5e563a3db63aa.jpg,
Kereban Langit,Heritage and Culture,Badung,0,4.7,200,4.7,https://goo.gl/maps/BsyR4Arbc8RxUyDy6,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Kereban-Langit-di-dalam-goa.jpg,
Bali Countryside Sidemen,Country sides area ,Karangasem,0,4.3,158,4.3,https://g.page/BaliCountrysideSidemen?share,https://lh5.googleusercontent.com/p/AF1QipP4RFGWCV1yqx_s6rquQfrch9QFS6khSJDvy2fE=w408-h270-k-no,
Bali Swing,Country sides area,Badung,0,4.5,6500,4.5,https://g.page/Realbaliswing?share,https://lh5.googleusercontent.com/p/AF1QipPjRRtl0ZVQhZjHYS7S16wbwCrTb_yh1CH95Ls4=w523-h240-k-no,
Jatiluwih Rice Terrace,Country sides area ,Tabanan,0,4.7,7100,4.7,https://g.page/jatiluwih-rice-terraces?share,https://lh5.googleusercontent.com/p/AF1QipNky84y3LNsdNRW5mzyIEDRWC8m0P7-thShDM-6=w408-h306-k-no,
Tegallalang Rice Terrace,Country sides area,Gianyar,0,4.4,32000,4.4,https://g.page/tegallalang-rice-terrace?share,https://lh5.googleusercontent.com/p/AF1QipO3FWtD3zMyKA5JZC2xvxO2K1Z3VoiS3f2rZMMn=w408-h306-k-no,
Aloha Ubud Swing,Country sides area ,Gianyar,0,4.6,2100,4.6,https://goo.gl/maps/GWjXsjApQcvAiT169,https://lh5.googleusercontent.com/p/AF1QipPORunjOjyyMGKDRUhq0ZmBxLprT2DemQr8_9eW=w426-h240-k-no,
West Bali National Park,Country sides area ,Buleleng,0,4.5,2900,4.5,https://goo.gl/maps/rsbLwiZ7qDV2uKme9,https://lh5.googleusercontent.com/p/AF1QipMU8DAs_fqXS06Zg2uZsbNx275cs6spY2nRovH5=w408-h255-k-no,
Kajeng Rice Field,Country sides area ,Gianyar,0,4.5,215,4.5,https://goo.gl/maps/eYkvkr4cqfhCgxjWA,https://lh5.googleusercontent.com/p/AF1QipOOiF_iPjpf73OwrQ5XnGZBSBgbWfUPli7zZVFM=w408-h544-k-no,
Campuhan Ridge Walk,Country sides area ,Gianyar,0,4.5,8000,4.5,https://goo.gl/maps/bNXVXyFw7hdW4vt19,https://lh5.googleusercontent.com/p/AF1QipNLNy_bQPFuEqd3C7Nde1TGPs6XYD5aGUFgjCK6=w408-h408-k-no,
Waterblow,Country sides area ,Badung,0,4.4,8500,4.4,https://goo.gl/maps/3o7c6ZKZku1uC5Tz5,https://lh5.googleusercontent.com/p/AF1QipPWS2sGMF-HtWaFO6xjrFprRh_qKOd9x5hpIo31=w408-h302-k-no,
Desa Visesa Ubud,Country sides area ,Gianyar,0,4.6,1500,4.6,https://g.page/desavisesa?share,https://lh5.googleusercontent.com/p/AF1QipMgNE80MnM2LsJaAOakOIk9v060u4ojE2qCsE_z=w408-h272-k-no,
Pura Tirta Empul,Country sides area ,Gianyar,0,4.6,15000,4.6,https://goo.gl/maps/mJtqFuYtK4G98LZT6,https://lh5.googleusercontent.com/p/AF1QipNfbLUspfUz29-Xe37T8sb2sEurfedPYIKirGe-=w408-h306-k-no,
Komaneka at Bisma,Country sides area ,Gianyar,0,4.7,631,4.7,https://goo.gl/maps/djh6BPJC4ykugJGi6,https://lh5.googleusercontent.com/proxy/aTzvTXtEedUoyTpVQgB7D17_1AYZkg741S9-HBiyXkuHUSY5TdSjQnWq8QGzy8NY09tjLaGrmjKXkwmhKNHc-N2q69rEeKTZa4Z4z7qQR-oiun0u1m0POIYbv3lu3DXdfoz0U9oJ9s7ChbjQB7AxM4Vt6ZC_mA=w408-h271-k-no,
Secret Beach,Country sides area ,Badung,0,4.3,639,4.3,https://goo.gl/maps/fGmcr3BFZix92q4H7,https://lh5.googleusercontent.com/p/AF1QipO9WtKdSby3pKLwpf_juf9YCffvGQi91WvVC7hr=w81-h81-n-k-no,
The Ritz-Carlton Bali,Country sides area ,Badung,0,4.7,3000,4.7,https://g.page/ritzcarltonbali?share,https://lh6.googleusercontent.com/proxy/xHAGFKlpYn8cK3GNGav1TY9g-IyNeqGytuKyPUv1d1JN21oF80XnP99XdglRgSMlyMXZsSeoDkduU2HkHhzVxiGscC9h_LTrMmHMFLszKwfqGoXphyS-VUE3Uffdyrf90-59pUrovz4GwBcwgPboGAI0rTIdEQ=w408-h272-k-no,
Pantai Segara Ayu,Beach,Denpasar,3000,4.5,1714,4.5,https://goo.gl/maps/EKrMZwZaKdrQpygy8,https://lh5.googleusercontent.com/p/AF1QipPP-MV7qIEUvPqOoUqOgc2j8gI_MvxuHKSVUAAA=w408-h306-k-no,
Pantai Mertasari,Beach,Denpasar,2000,4.4,543,4.4,https://goo.gl/maps/6weUNTz264wL1vwHA,https://lh5.googleusercontent.com/p/AF1QipOWodl_I1o3c2S8BrtYBjScS6IBYOkcbfOufj9T=w408-h306-k-no,
Pantai Matahari Terbit,Beach,Denpasar,2000,4,11,4,https://goo.gl/maps/ZJLCmByKjAQ5uhb29,https://lh5.googleusercontent.com/p/AF1QipNbzKbujmzki2P7kA6KcKIhgYCHul3tWC8Ii3fy=w426-h240-k-no,
Pantai Biaung,Beach,Denpasar,2000,4.2,507,4.2,https://goo.gl/maps/JDyeY2Mcufs6veRR9,https://lh5.googleusercontent.com/p/AF1QipOywG2rRR9oyg6JsqafmKpcCZxtr5eAs-xu5faX=w408-h306-k-no,
 Pantai Padang Galak,Beach,Denpasar,5000,4.6,117,4.6,https://goo.gl/maps/gQQoN7ugUF7RG2dh9,https://lh5.googleusercontent.com/p/AF1QipMkb6oHRe1u3Xknj4XGHZt96XHkY__PXFJCqnDw=w425-h240-k-no,
Pantai Sanur,Beach,Denpasar,10000,4.5,1924,4.5,https://goo.gl/maps/LskttfqcvLgsK9TG7,https://www.bing.com/th?id=OIP.igVLTVJ4UDN7K_OQpir4sQHaFV&w=194&h=140&c=8&rs=1&qlt=90&o=6&pid=3.1&rm=2,
Pantai Sindhu,Beach,Denpasar,2000,4.6,716,4.6,https://goo.gl/maps/Abdxyxex9Q85RKoE7,https://lh5.googleusercontent.com/p/AF1QipNAmePP4rI9XTH86tC77wQe9i_Sz-OYZ3bHS1wg=w408-h306-k-no,
Pantai Karang,Beach,Denpasar,2000,4.6,4419,4.6,https://goo.gl/maps/doVoQJacfHu2oAvk8,https://lh5.googleusercontent.com/p/AF1QipM2zB4hClaQDdTfSehphOGKt50RBHyRFxNWfTLf=w408-h306-k-no,
Pantai Yeh Gangga,Beach,Tabanan,2000,4.4,1107,4.4,https://goo.gl/maps/rSnqiW4RYoWfQUQXA,https://lh5.googleusercontent.com/p/AF1QipNEDbMs2uJtztzJCqk1BoIVurgpcojeS5hiJxm5=w426-h240-k-no,
Pantai Batu Tampih,Beach,Tabanan,2000,4.5,105,4.5,https://goo.gl/maps/FutA5TXnG4LTF2pz5,https://lh5.googleusercontent.com/p/AF1QipMAN8w72eIFOQwuL3x6JmrOSL9XkyGmRTf6DBz9=w427-h240-k-no,
Pantai Soka,Beach,Tabanan,2000,4.2,1229,4.2,https://goo.gl/maps/Hims7WConruogm2BA,https://lh5.googleusercontent.com/p/AF1QipODZjIs11ZBN6BXxQ2-s2ZyNBONsdDN2z-Em0q5=w408-h244-k-no,
Pantai Pasut,Beach,Tabanan,2000,4.4,863,4.4,https://goo.gl/maps/peqDuKEnQCoqiqNU9,https://lh5.googleusercontent.com/p/AF1QipMP9yzgvvi63LLQgCKJ9jGVjLiPQ4Mc6DL1X6gM=w408-h306-k-no,
Pantai Kelating,Beach,Tabanan,2000,4.4,505,4.4,https://goo.gl/maps/TFFp5VDAwWZzgbN39,https://lh5.googleusercontent.com/p/AF1QipOQFDp0YJuUKhLCDvYluYOUwlvsHCfCa8eEUZdv=w408-h305-k-no,
Pantai Melasti,Beach,Badung,15000,4.8,7375,4.8,https://goo.gl/maps/3SDYZwma2fUUmmWXA,https://lh5.googleusercontent.com/p/AF1QipOoTSCx5oVKsP_R8YT3jYMNwiGGMhXTzfcV9L6q=w408-h306-k-no,
Pantai Balian,Beach,Tabanan,5000,4.5,651,4.5,https://goo.gl/maps/NvuC1gfDuzH8qqy7A,https://lh5.googleusercontent.com/p/AF1QipPI7soQv81Ffj5tL5jE5uTFdn-brV7SWKGvy60C=w514-h240-k-no,
Pantai Kedungu,Beach,Tabanan,2000,4.5,1637,4.5,https://goo.gl/maps/UHJgrQaqqVHY4dm26,https://lh5.googleusercontent.com/p/AF1QipN-ibDbRj48j0gG42Bak9iIe1Msbz_4BLM3JCwb=w408-h306-k-no,
Pantai Goa Lawah,Beach,Klungkung,2000,4.4,200,4.4,https://goo.gl/maps/UipkCdXR7PQg7FGS9,https://lh5.googleusercontent.com/p/AF1QipPXRF5sLyePoQCswX79cBeftsdZk1ENpegpbp1F=w408-h306-k-no,
Pantai Sidayu,Beach,Klungkung,5000,4.3,67,4.3,https://goo.gl/maps/Pd7pFMH2agTxDAzF9,https://lh5.googleusercontent.com/p/AF1QipPa9M9VUp6D9ITpZkfXpJxbUosmodk1-IiF999y=w408-h306-k-no,
Pantai Lepang,Beach,Klungkung,2000,4.4,159,4.4,https://goo.gl/maps/djgCqZJVd3CBzKUF6,https://lh5.googleusercontent.com/p/AF1QipNE-MUU2m2PV904LHpyXlq9J5rtO6nksl-XOIAa=w408-h306-k-no,
Pantai Tegal Besar,Beach,Klungkung,2000,4.5,66,4.5,https://goo.gl/maps/5YWY4pHbGwvs8i1t9,https://lh5.googleusercontent.com/p/AF1QipPM9urVrZXIkzpsrW5ZC6uxOJCLebU0p1KSlFg8=w408-h306-k-no,
Pantai Bias Putih,Beach,Karangasem,5000,4.5,8,4.5,https://goo.gl/maps/Z7NSt9cUtCDw3TnC6,https://lh5.googleusercontent.com/p/AF1QipOqeXFt7jUhGAexrlK_P3AXEG1nO44pZTDlAq0n=w408-h306-k-no,
Pantai Blue Lagoon,Beach,Karangasem,2000,4.2,3239,4.2,https://goo.gl/maps/AnRy7hGmLzVwgS1o6,https://lh5.googleusercontent.com/p/AF1QipMBPauAwDF1PRjegt7_509M9I4g8T4e8vdNCpfA=w408-h306-k-no,
