Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images,
Ulundanu Beratan Temple,Heritage and Culture,Tabanan,20000,4.7,25962,https://goo.gl/maps/4b7RAHD1vGo4kqb6A,https://a.cdn-hotels.com/gdcs/production62/d679/115f67b3-1da1-4c57-93c5-9e8f7635e571.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Tanah Lot Beach,Heritage and Culture,Tabanan,15000,4.6,71776,https://goo.gl/maps/ef9Ze95kDpJZBLcs8,https://i2.wp.com/www.agoda.com/wp-content/uploads/2020/01/Sunrise-Tanah-Lot-Temple.jpg?ssl=1,
Luhur Tambawaras Temple,Heritage and Culture,Tabanan,15000,4.6,378,https://goo.gl/maps/SiC3AETPL8omFErHA,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Luhur-Tambawaras-Tabanan.jpg,
Ponjok Batu Temple,Heritage and Culture,Buleleng,,4.7,455,https://goo.gl/maps/PANcF23gnhWTfSof8,https://www.kintamani.id/wp-content/uploads/Pura-Ponjok-Batu-Buleleng-3-1024x680.jpg,
Penataran Agung Lempuyang Temple,Heritage and Culture,Karangasem,50000,4.4,5745,https://goo.gl/maps/yE4ANys7vWPCpkjNA,https://www.balitoursclub.net/wp-content/uploads/2017/10/Paket-Lempuyang-tour-Karangasem.jpg,
Kehen Temple,Heritage and Culture,Bangli,10000,4.6,568,https://goo.gl/maps/2s12FCVNMBEy9AGp7,https://www.kintamani.indonesia-tourism.com/images/kehen_temple.jpg,
Kebo Edan Temple,Heritage and Culture,Gianyar,0,4.7,137,https://goo.gl/maps/gkod1HpTihPEfPS18,https://img-asset-01.visitbali.id/TAhpycv-oT5sKWjWWxpSZIjut3pAaVWElzzPva13iRA/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9TZXAvMTcvNWQ4MGE4MTU2NjY1ZmYxYjYuanBn.jpg,
Mengening Temple,Heritage and Culture,Gianyar,0,4.7,598,https://goo.gl/maps/DTPjQTYc7dw2qk158,https://media-cdn.tripadvisor.com/media/photo-s/14/f7/f9/c6/pura-mengening.jpg,
Pegulingan Temple,Heritage and Culture,Gianyar,0,4.6,60,https://goo.gl/maps/jms6eoUNkioE3MR36,https://ubud.id/wp-content/uploads/2020/07/Screen-Shot-2020-07-24-at-19.20.59.png,
Luhur Besikalung Temple,Heritage and Culture,Tabanan,0,4.7,146,https://goo.gl/maps/Dc1wHgqQCBtKZdyL6,https://www.kintamani.id/wp-content/uploads/ura-Luhur-Besi-Kalung-1.jpg,
Tebing Gunung Kawi Temple,Heritage and Culture,Gianyar,30000,4.7,49,https://goo.gl/maps/6V36x28MQWxpjUn7A,https://2.bp.blogspot.com/-A4kNWsldgTE/W4-e6fgZlzI/AAAAAAAAPW8/uj-N0LTkVvMf-xe5UmQiYjpmcaM3ZiQggCLcBGAs/s1600/0_IMG-20180712-WA0028.jpg,
Elephant Cava,Heritage and Culture,Gianyar,30000,4.2,6379,https://g.page/goa-gajah?share,https://balicheapesttours.com/dummy/goa-gajah1.jpg,
Dasar Buana Gelgel Temple,Heritage and Culture,Klungkung,0,4.7,610,https://goo.gl/maps/1kP1TaNVS5ysS5W58,https://panbelog.files.wordpress.com/2014/11/pura-dasar-bhuwana.jpg?w=640,
Subak Pulagan,Heritage and Culture,Gianyar,0,4.5,151,https://goo.gl/maps/zNf6ZDEpCe498urr7,https://img.okezone.com/content/2017/08/13/406/1755229/subak-pulagan-warisan-era-keemasan-prabu-udayana-yang-keramat-pK9IY1q3vj.jpg,
Puri Agung Jro Kuta,Heritage and Culture,Denpasar,0,4.6,329,https://goo.gl/maps/UWs3nx35MPbvn3eS6,http://3.bp.blogspot.com/-dTf2H3wcJXc/VTcPT9GTF9I/AAAAAAAAAAk/o6md9rXwIMM/s1600/1.jpg,
Penglipuran Village,Heritage and Culture,Bangli,25000,4.8,9693,https://goo.gl/maps/N4V3iVpFmGHWJDWN6,https://www.indonesia.travel/content/dam/indtravelrevamp/en/trip-ideas/experience-a-traditional-living-atmosphere-at-penglipuran-village-bali/image-1.jpg,
Kahyangan Jagat,Heritage and Culture,Tabanan,0,4.7,137,https://goo.gl/maps/46o12BCvTDjZruf16,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1,
Yadnya Museum,Heritage and Culture,Badung,0,4.7,14,https://goo.gl/maps/ae3czmWcYeVEkeuM9,https://indonesiakaya.com/wp-content/uploads/2020/10/7__IMG_7743_Sejumlah_koleksi_ogoh-ogoh_yang_merupakan_bagian_dari_perangkat_dari_ritual_bhuta_yadnya_2.jpg,
Tegallingah Cliff Temple,Heritage and Culture,Gianyar,0,4.6,14,https://goo.gl/maps/sLC6e3hTNQJGXYkz6,https://balitripholidays.files.wordpress.com/2016/02/6.jpg,
Bajra Sandhi Monument,Heritage and Culture,Denpasar,0,4.6,12047,https://goo.gl/maps/RK5iLNcBxvkMcVeZ9,https://asset.kompas.com/crops/0kZ_Ah3oLQiKbkJ5qKbxLQfgIXA=/0x51:1000x717/750x500/data/photo/2020/02/26/5e563a3db63aa.jpg,
Kereban Langit,Heritage and Culture,Badung,0,4.7,200,https://goo.gl/maps/BsyR4Arbc8RxUyDy6,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Kereban-Langit-di-dalam-goa.jpg,
Nama,Category,Place,Price,Ratings,Comment,Link Gmaps,Images,Contact Person
Bali Exotic Marine Park,Nature,Tabanan,500000,4.7,267,https://g.page/balimarinepark?share,https://lh5.googleusercontent.com/p/AF1QipMpbms8y-Hx6k85FLl9-Xf6ds3Dn7BxxdeLltJ8=w360-h240-k-no,(0361)8468883
Bali Zoo,Nature,Gianyar,100000,4.4,1316,https://g.page/balizoo?share,https://lh5.googleusercontent.com/p/AF1QipPM0Sta1NfZaCHOz0PKEXXBZ2_ap5gnP4LzLOnh=w122-h92-k-no,(0316)294357
Bali Bird Park,Nature,Gianyar,100000,4.6,9112,https://g.page/balibirdparkofficial?share,https://lh5.googleusercontent.com/p/AF1QipNyW1-y75spQLV2hc_BBIE65x96lIT0y9Xy5RxS=w122-h92-k-no,(0361)299352
Bali Safari & Marine Park,Nature,Gianyar,155000,4.4,155120,https://goo.gl/maps/MB676RFfC4WKnBrp6,https://lh5.googleusercontent.com/p/AF1QipMKDijiTwFXPk-Ep7wjY6C28QXxM1bS-p5F8zrB=w122-h92-k-no,0812 3969 077
Turtel Park,Nature,Badung,200000,4,216,https://goo.gl/maps/U8KBDYjJjosgSKxa6,https://lh5.googleusercontent.com/p/AF1QipOO43kPiYSPW2wgRNU87XLp40B6V1DUVz4_2LwA=w189-h92-k-no,0855 3902 086
Bali Butterfly Park,Nature,Tabanan,150000,4.3,1009,https://g.page/balibutterflypark?share,https://lh5.googleusercontent.com/p/AF1QipPMELR-5Dnmkmnha19zA6GPPAcq8nRZ3qdfx0eq=w80-h100-k-no,08786 3075 006
Hidden Mini Zoo Bali,Nature,Gianyar,100000,4.6,152,https://g.page/hiddenminizoo?share,https://lh5.googleusercontent.com/p/AF1QipPT7Rdq7udiww_6rb2jdgSw6js3xPdZmeEsITjP=w80-h106-k-no,0851 2933 0025
Bali Reptile Park,Nature,Gianyar,200000,4.5,169,https://g.page/Balireptilepark?share,https://lh5.googleusercontent.com/p/AF1QipM_vxXkBf1g5cqSbmhTpHOWsBrAzx7-wZbyujIf=w138-h92-k-no,(0361)299344
Mandala Suci Wenara Wana,Nature,Gianyar,120000,4.5,34178,https://g.page/monkeyforestubud?share,https://lh5.googleusercontent.com/p/AF1QipO7d5akILNrynBXWvYEhPI3oMZEOkR2u5jGUkSR=w122-h92-k-no,(0361)971304
TASTAZOO | Taman Satwa Tabanan,Nature,Tabanan,125000,4.5,224,https://g.page/tastazoo?share,https://lh5.googleusercontent.com/p/AF1QipMOdTWtf_OwZrz7X8J2aYUcW3d-V2JSL82cdzvS=w80-h106-k-no,0811 3809 089
Objek Wisata Sangeh,Nature,Badung,100000,4.6,104,https://g.page/sangeh?share,https://lh5.googleusercontent.com/p/AF1QipO99W7yjBYtgwSlT2msL4a7qG6ZS66XQPwHTO0=w136-h92-k-no,0851 0042 2740
Balitopia Butterfly Park,Nature,Gianyar,200000,4.1,93,https://g.page/balitopia?share,https://lh5.googleusercontent.com/p/AF1QipMFGBKotMVcWCmg6nUVzr-_zXNpR8r3PKy_5f8j=w122-h92-k-no,(0361)4795777
Tiket Pulau Penyu,Nature,Badung,200000,4.5,63,https://goo.gl/maps/3Wb3PdjxzuYu8arh7,https://lh5.googleusercontent.com/p/AF1QipO77CgWVGYUdTQbTqwG-P3vaP4S89P4kIFE9kA5=w194-h92-k-no,0852 3765 8133
DELUANG SARI Penangkaran Penyu Bali Tanjung Benoa,Nature,Badung,150000,4.1,4340,https://goo.gl/maps/N2HYEWthqJPaQW2c9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.watersportbali.co.id%2Fdeluang-sari-turtle-farm-tempat-penangkaran-penyu-di-bali%2F&psig=AOvVaw3d-w2gWRVyZ1OEXhS16mQv&ust=1654227195217000&source=images&cd=vfe&ved=0CAwQjRxqFwoTCPi40NTqjfgCFQAAAAAdAAAAABAD,0815 5808 0876
Tegenungan Waterfall,Nature,Gianyar,120000,4.3,21539,https://g.page/tegenungan-waterfall?share,https://lh5.googleusercontent.com/p/AF1QipNDJJmoIQeDZRFiIoLHEoDoI_unXbuem4gia0yW=w163-h92-k-no,0833 5373 2389
Kurma Asih Sea Turtle Conservation Center,Nature,Jembrana,120000,4.7,228,https://goo.gl/maps/sL4VvZKtcipfVRgTA,https://lh5.googleusercontent.com/p/AF1QipOCPbfYty1oyfRCGe9EK6Dg5YluhEVnTG_7UpDK=w195-h143-p-k-no,0813 3841 0898
Taman Nasional Bali Bara,Nature,Jembrana,125000,4.5,2867,https://goo.gl/maps/VpNyutcgXWHF2GaE7,https://goo.gl/maps/Wy43sp7yj4ov6vVT7,(0365) 61060
Bali Bird Walks,Nature,Gianyar,150000,4.5,228,https://goo.gl/maps/K3vJGJnYNVavpAHW7,https://lh5.googleusercontent.com/p/AF1QipMf8qr4CbWklA3yFRvJBPm4PQGniVxS1M35PAyZ=w80-h142-k-no,(0361) 975009
Balai Pengelolaan Hutan Mangrove Wilayah I,Nature,Badung,100000,4.2,441,https://goo.gl/maps/onR1dEDfHgtEtDwd7,https://lh5.googleusercontent.com/p/AF1QipNpMebb5a5bPmRS4YDKT_qz5UTfjUKuBvHOOx1S=w138-h92-k-no,(0361) 726969
Hidden Canyon Beji Guwang,Nature,Gianyar,200000,4.5,2202,https://goo.gl/maps/EHezcB9hQeTshSNd8,https://lh5.googleusercontent.com/p/AF1QipNn3pykR2xKUbCMTKQ9TvQ89aiNR4Rq0a8spuIf=w122-h92-k-no,0813 38724285
Kokokan Heron Bird Colony Watch,Nature,Gianyar,200000,4.4,93,https://goo.gl/maps/RgRZsNcTcKURy6u37,https://lh5.googleusercontent.com/p/AF1QipM9QB7oND09FTNG4wnH7xJo5nyQvBydT7kJxdch=w80-h106-k-no,0878 62976331
Tambak Sari Turtle island,Nature,Badung,150000,4,18,https://www.google.com/maps/place/Tambak+Sari+Turtle+island/data=!4m6!3m5!1s0x2dd243ace7b1fea3:0xd05c890107a6cf6c!8m2!3d-8.7634212!4d115.2159586!16s%2Fg%2F11gt_zqgdt?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipN20tJGhKK9m8jqX4iKVdy05tvSZdkYWfGHNTtF=w122-h92-k-no,0819 1638 6576
Bali Shark Swimming,Nature,Tabanan,145000,4,8,https://www.google.com/maps/place/Bali+Shark+Swimming/data=!4m6!3m5!1s0x2dd24182f96037f7:0xac91c7efbbb8ed84!8m2!3d-8.7214329!4d115.2388328!16s%2Fg%2F11c5951cm1?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPiYHoThuVXyBD2ey-2w-7zwCbmfMqAZi0ZdHyf=w163-h92-k-no,0858 5732 0471
Air Terjun Jagasatru,Nature,Karangasem,20000,4.7,210,https://www.google.com/maps/place/Air+Terjun+Jagasatru/data=!4m6!3m5!1s0x2dd2057ac05b6f73:0x782d1dc9b59984c2!8m2!3d-8.4593053!4d115.5102254!16s%2Fg%2F11g8kstlg_?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPbMDO3uj1DuOp3MXnhwauA70hgaViucFm9Va4v=w80-h106-k-no,none
Tuwut,Nature,Tabanan,250000,4.8,48,https://www.google.com/maps/place/Tuwut/data=!4m6!3m5!1s0x2dd226e943143d9b:0x7fc7f1ef1efd0229!8m2!3d-8.387445!4d115.1617327!16s%2Fg%2F11c5bg8k0m?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNm1KuRF_qIdPJS4CIGhMR03hq7ZpIJEOI94Xfm=w122-h92-k-no,0812 3993 611
Telaga Waja Waterfall,Nature,Karangasem,30000,4.5,297,https://www.google.com/maps/place/Telaga+Waja+Waterfall/data=!4m6!3m5!1s0x2dd21af1043331df:0x984045c0d887ca61!8m2!3d-8.4460484!4d115.4344223!16s%2Fg%2F11ckw28n1w?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNbgRg6-OyVBJTCTBms8pKyNEvxCaSEjHVINVpz=w122-h92-k-no,0851 5612 9580
Twin Lake Wanagiri spot,Nature,Buleleng,120000,4.3,87,https://www.google.com/maps/place/Twin+Lake+Wanagiri+spot/data=!4m6!3m5!1s0x2dd18f509223d5df:0x18d277b54d79b946!8m2!3d-8.2451045!4d115.1020934!16s%2Fg%2F11d_7zgfnw?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPIM957VnvlgofmzrdhjyiTyWAGpi7ZL4uzm574=w80-h106-k-no,0818 0541 7953
Wisata Tukad Ngongkong,Nature,Badung,100000,4.5,75,https://www.google.com/maps/place/Wisata+Tukad+Ngongkong/data=!4m6!3m5!1s0x2dd221ca0b8c0129:0x6752d7505ef5c16b!8m2!3d-8.367475!4d115.2264884!16s%2Fg%2F11gy0f4478?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPR7Jsmly963YrirM2VXMAj8zFD8STINbEaDsLA=w163-h92-k-no,0831 1953 6667
Rumah Pohon Tamega,Nature,Karangasem,125000,4.1,398,https://www.google.com/maps/place/Rumah+Pohon+Temega/data=!4m6!3m5!1s0x2dd2065fde9384cb:0x8682d90060b7169f!8m2!3d-8.4232338!4d115.5923885!16s%2Fg%2F11c5_syk1f?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNBVzJNP1tGB8z7XJ8ekhToNQngOKkeUaDtCiTj=w122-h92-k-no,0852 3776 5727
Bukit Tengah,Nature,Klungkung,150000,4.6,215,https://www.google.com/maps/place/Bukit+Tengah/data=!4m6!3m5!1s0x2dd211fcfd8052c9:0x20b1fa269c4e4298!8m2!3d-8.5385763!4d115.4767876!16s%2Fg%2F11f39y80my?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPvXygqLDAmYWdzikfP_-KHnbsQQlO2Ea8qgwRz=w80-h106-k-no,none
Air Terjun Nungnung,Nature,Badung,20000,4.7,373,https://goo.gl/maps/DHBrS7nc2mDBFgFS9,https://www.gstatic.com/images/icons/material/system_gm/2x/menu_black_24dp.png,none
Tegenungan Waterfall,Nature,Gianyar,20000,4.3,22000,https://g.page/tegenungan-waterfall?share,https://lh5.googleusercontent.com/p/AF1QipNDJJmoIQeDZRFiIoLHEoDoI_unXbuem4gia0yW=w163-h92-k-no,none
Air Terjun Leke Leke,Nature,Tabanan,25000,4.5,850,https://goo.gl/maps/veszwwWfHgWdTr928,https://lh5.googleusercontent.com/p/AF1QipORzeS7q82KhsTUI-qG2O5HqKHRcqBJJAoy6Ewr=w80-h106-k-no,none
Banyumala Waterfall,Nature,Buleleng,30000,4.8,2174,https://goo.gl/maps/B5UAgYRDmUy9WhEGA,https://lh5.googleusercontent.com/p/AF1QipPfat6I6If8pdJS8vNbHoTCmBrusgbYx1NQliMU=w138-h92-k-no,none
Gitgit Waterfall,Nature,Buleleng,30000,4.3,1800,https://goo.gl/maps/76kVoxquc4td6sA76,https://lh6.googleusercontent.com/proxy/8IdHzlcBVnQmd38gCXjldBnkl1VRVp-qVz8XgEvq_PSR53B4WGromj8R_PnLAU2m2aFmC7MU-O8DADr2H9Wb_tP-9jkk0_1j9ggxykeXDQiXxJZNe0fy-IAJFRTqawHcc30ZnlKnvEbpnNiE4T0eq0GyFPOZsg=w138-h92-k-no,none
Air Terjun Jembong Ambengan,Nature,Buleleng,30000,4.5,649,https://goo.gl/maps/R7F5DUTVTf8B8qje7https://goo.gl/maps/R7F5DUTVTf8B8qje7,https://lh5.googleusercontent.com/p/AF1QipPIqHS0SdPTq6yc_ydtb59heZmKtF3JStSeLbAv=w90-h92-k-no,none
Seminyak,Town,Badung,Rp.0,5,0,https://goo.gl/maps/J4eE5xG5TeZ2Xy1FA,https://photos.app.goo.gl/dG9QCtvne7n2cs658,
Bajra Sandhi,City Park and Monument,Denpasar,Rp.0,44716,12047,https://goo.gl/maps/r2r5UVmqtuE37y228,https://photos.app.goo.gl/PUshQ1WuYjqa72Lq9,361264517
Taman Lumintang,City Park,Denpasar,Rp.0,44685,8896,https://goo.gl/maps/fEDJ81yHLwLR7E5W8,https://photos.app.goo.gl/erDnh6oRmgCkLgju9,
Werdhi Budaya Art Centre,City Park,Denpasar,Rp.0,44716,7439,https://goo.gl/maps/VLuiAP6LDru3dBCE9,https://photos.app.goo.gl/1vGhx2ztLTzrYoa36,361227176
Legian Kuta,Town,Badung,Rp.0,5,0,https://goo.gl/maps/QVGK7LwwAdAzLnnV7,https://photos.app.goo.gl/B8Hs93ga6a49u7CV6,
Taman Kota Br. Buagan,City Park,Denpasar,Rp.0,44655,8,https://goo.gl/maps/udmk6QMywH5hxaWYA,https://photos.app.goo.gl/QjU7rwDCmRUPCfn79,
Taman Kota Singaraja,City Park,Singaraja,Rp.0,44685,4494,https://goo.gl/maps/VmzprcA1wi9Lv7Pt9,https://photos.app.goo.gl/mZJyUkxEGM6mfMvR6,
Taman Kota Klungkung,City Park,Klungkung,Rp.0,44655,137,https://goo.gl/maps/11g4xsEZv1iBaMwa8,https://photos.app.goo.gl/Qja7DWtaULGG7yPx8,
Taman Kota Ciung Wanara Gianyar,City Park,Gianyar,Rp.0,44685,1430,https://goo.gl/maps/KLtNAxDsHdDAeHvh6,https://photos.app.goo.gl/5iceFam5PtBaoLSv6,
Niti Mandala Renon Field ,City Park,Denpasar,Rp.0,44716,5698,https://goo.gl/maps/RvW2weyPxWAgYc1s6,https://photos.app.goo.gl/h4vNsWCvCxL5Qd97A,
YOUTH PARK,City Park,Denpasar,Rp.0,44655,122,https://goo.gl/maps/ZxPdduKnbHYF1HMp6,https://photos.app.goo.gl/FN8TkF1pNsmSifbj7,
Kumbasari Park,City Park,Denpasar,Rp.0,44655,76,https://goo.gl/maps/u7q26GVWk822pSDf8,https://photos.app.goo.gl/JALuYNXQ3LL3ujCB9,
Taman Festival Bali Padang Galak,City Park and Ghost Park,Denpasar,Rp.0,44624,1235,https://goo.gl/maps/6Ya8yr9NZShkHXUj8,https://photos.app.goo.gl/5D9PbJSa5bZdtt9EA,
Taman Pecangakan - Negara,City Park,Jembrana,Rp.0,44655,950,https://goo.gl/maps/2i9KuvWLXMfGHnbQ7,https://photos.app.goo.gl/9MMdKgS4Q4PV84HS7,
Taman Agung Proklamasi,City Park,Denpasar,Rp.0,5,1168,https://goo.gl/maps/SN2HxqkfxpM4cX4x5,https://photos.app.goo.gl/GTyigGkcMC4w6GEL8,
