Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images
Taman Ayun Temple,Heritage and Culture,Badung,30000,4.6,6211,https://goo.gl/maps/D1NgMwXcempJAbw37,https://a.cdn-hotels.com/gdcs/production60/d1777/4239b2a4-1f8b-4cb3-b492-2b13a7036a80.jpg
Beji Sangsit Temple (Cultural Heritage and Public Temple),Heritage and Culture,Buleleng,0,4.6,450,https://goo.gl/maps/XqCncVBFUcJwvRJNA,https://lovebali.baliprov.go.id/storage/touriest_destinations/img-1634397534616aed5e63686.png
Tirta Empul Temple,Heritage and Culture,Gianyar,15000,4.6,14576,https://goo.gl/maps/3SBs2mxQv36oXwx4A,https://a.cdn-hotels.com/gdcs/production17/d497/53f32ae3-08c2-48b2-a32c-6d8a1761f597.jpg?impolicy=fcrop&w=800&h=533&q=medium
Agung Besakih Temple,Heritage and Culture,Karangasem,5000,4.6,8970,https://goo.gl/maps/27rLjync8oCUJuGu5,https://wisato.id/wp-content/uploads/2022/03/Pura-Agung-Besakih-2-6.jpg
Goa Lawah Temple,Heritage and Culture,Klungkung,15000,4.7,4016,https://goo.gl/maps/aPdW4xeRZQ6nMkA7A,https://a.cdn-hotels.com/gdcs/production96/d1027/4d2104a3-294a-42e7-ab67-14d8fb360d9e.jpg
Puseh Desa Batuan Temple,Heritage and Culture,Gianyar,10000,4.4,2324,https://goo.gl/maps/QiiDDTozyxoLHJ6D9,https://a.cdn-hotels.com/gdcs/production48/d1682/e9836f9d-a49f-4093-b8ae-0dbd475086cd.jpg?impolicy=fcrop&w=800&h=533&q=medium
Uluwatu Fire and Kecak Dance,Heritage and Culture,Badung,150000,4.6,2371,https://g.page/tari-kecak-uluwatu?share,https://www.raftingbali.net/wp-content/uploads/2020/01/Kecak-Dance-Bali-Feature-Image.jpg
Luhur Uluwatu Temple,Heritage and Culture,Badung,30000,4.6,27257,https://g.page/Uluwatu?share,https://a.cdn-hotels.com/gdcs/production142/d1653/b667788d-ebdf-4b27-8bab-22bc59175055.jpg
Saraswati Temple,Heritage and Culture,Gianyar,80000,4.4,2957,https://goo.gl/maps/YMh8PsNGHV547wE76,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/f4/01/saraswati-temple-in-ubud.jpg?w=1200&h=-1&s=1
Taman Sari Semarapura Temple,Heritage and Culture,Klungkung,0,4.9,12,https://goo.gl/maps/ycoHyZJYdGbmywGZ7,https://4.bp.blogspot.com/-BWiCc6a88KE/W9AhG2Fm7LI/AAAAAAAAY5Q/NO4q6aMxsSUfvzBzRnEU0mtK4NbSMjyTQCLcBGAs/s1600/sari_1c.jpg
Maduwe Karang Temple,Heritage and Culture,Buleleng,0,4.6,182,https://goo.gl/maps/BNmt2eehQctNxSdb6,https://www.balitravelhub.com/wp-content/uploads/2017/08/Meduwe-Karang-Hindu-Temple-03.jpg
Tirta Gangga,Heritage and Culture,Karangasem,25000,4.6,11265,https://g.page/Taman-Tirtagangga?share,https://natantransport.com/wp-content/uploads/2019/04/Tirta-Gangga.jpg
Sada Puru Temple (Kahyangan Jagat),Heritage and Culture,Badung,15000,4.7,136,https://goo.gl/maps/YeSBy8xvdwJRCbt29,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1
Sasih Penataran Temple,Heritage and Culture,Gianyar,10000,4.7,324,https://goo.gl/maps/2z4d326X2iJyJdnGA,https://img-asset-01.visitbali.id/skg0Xqe0H6XKktFwyoFBiG0XttH5laGjzHASQ73wsWE/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9KdW4vMjcvNWQxNGFhMzZhOWZjMDQxZjEuanBn.jpg
Kertha Gosa Park,Heritage and Culture,Klungkung,15000,4.5,2985,https://goo.gl/maps/PGin3FJvD1q24fCE7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c3/3b/7d/templo.jpg?w=1200&h=1200&s=1
Dalem Balingkang Temple,Heritage and Culture,Bangli,0,4.8,297,https://goo.gl/maps/Wjzx3BMobjrhg9iX8,http://www.balitoursclub.net/wp-content/uploads/2017/05/Gedong-linggih-Ratu-Mas-Subandar-Kang-Cing-We.jpg
Ulundanu Beratan Temple,Heritage and Culture,Tabanan,20000,4.7,25962,https://goo.gl/maps/4b7RAHD1vGo4kqb6A,https://a.cdn-hotels.com/gdcs/production62/d679/115f67b3-1da1-4c57-93c5-9e8f7635e571.jpg?impolicy=fcrop&w=800&h=533&q=medium
Tanah Lot Beach,Heritage and Culture,Tabanan,15000,4.6,71776,https://goo.gl/maps/ef9Ze95kDpJZBLcs8,https://i2.wp.com/www.agoda.com/wp-content/uploads/2020/01/Sunrise-Tanah-Lot-Temple.jpg?ssl=1
Luhur Tambawaras Temple,Heritage and Culture,Tabanan,15000,4.6,378,https://goo.gl/maps/SiC3AETPL8omFErHA,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Luhur-Tambawaras-Tabanan.jpg
Ponjok Batu Temple,Heritage and Culture,Buleleng,0,4.7,455,https://goo.gl/maps/PANcF23gnhWTfSof8,https://www.kintamani.id/wp-content/uploads/Pura-Ponjok-Batu-Buleleng-3-1024x680.jpg
Penataran Agung Lempuyang Temple,Heritage and Culture,Karangasem,50000,4.4,5745,https://goo.gl/maps/yE4ANys7vWPCpkjNA,https://www.balitoursclub.net/wp-content/uploads/2017/10/Paket-Lempuyang-tour-Karangasem.jpg
Kehen Temple,Heritage and Culture,Bangli,10000,4.6,568,https://goo.gl/maps/2s12FCVNMBEy9AGp7,https://www.kintamani.indonesia-tourism.com/images/kehen_temple.jpg
Kebo Edan Temple,Heritage and Culture,Gianyar,0,4.7,137,https://goo.gl/maps/gkod1HpTihPEfPS18,https://img-asset-01.visitbali.id/TAhpycv-oT5sKWjWWxpSZIjut3pAaVWElzzPva13iRA/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9TZXAvMTcvNWQ4MGE4MTU2NjY1ZmYxYjYuanBn.jpg
Mengening Temple,Heritage and Culture,Gianyar,0,4.7,598,https://goo.gl/maps/DTPjQTYc7dw2qk158,https://media-cdn.tripadvisor.com/media/photo-s/14/f7/f9/c6/pura-mengening.jpg
Pegulingan Temple,Heritage and Culture,Gianyar,0,4.6,60,https://goo.gl/maps/jms6eoUNkioE3MR36,https://ubud.id/wp-content/uploads/2020/07/Screen-Shot-2020-07-24-at-19.20.59.png
Luhur Besikalung Temple,Heritage and Culture,Tabanan,0,4.7,146,https://goo.gl/maps/Dc1wHgqQCBtKZdyL6,https://www.kintamani.id/wp-content/uploads/ura-Luhur-Besi-Kalung-1.jpg
Tebing Gunung Kawi Temple,Heritage and Culture,Gianyar,30000,4.7,49,https://goo.gl/maps/6V36x28MQWxpjUn7A,https://2.bp.blogspot.com/-A4kNWsldgTE/W4-e6fgZlzI/AAAAAAAAPW8/uj-N0LTkVvMf-xe5UmQiYjpmcaM3ZiQggCLcBGAs/s1600/0_IMG-20180712-WA0028.jpg
Elephant Cava,Heritage and Culture,Gianyar,30000,4.2,6379,https://g.page/goa-gajah?share,https://balicheapesttours.com/dummy/goa-gajah1.jpg
Dasar Buana Gelgel Temple,Heritage and Culture,Klungkung,0,4.7,610,https://goo.gl/maps/1kP1TaNVS5ysS5W58,https://panbelog.files.wordpress.com/2014/11/pura-dasar-bhuwana.jpg?w=640
Subak Pulagan,Heritage and Culture,Gianyar,0,4.5,151,https://goo.gl/maps/zNf6ZDEpCe498urr7,https://img.okezone.com/content/2017/08/13/406/1755229/subak-pulagan-warisan-era-keemasan-prabu-udayana-yang-keramat-pK9IY1q3vj.jpg
Puri Agung Jro Kuta,Heritage and Culture,Denpasar,0,4.6,329,https://goo.gl/maps/UWs3nx35MPbvn3eS6,http://3.bp.blogspot.com/-dTf2H3wcJXc/VTcPT9GTF9I/AAAAAAAAAAk/o6md9rXwIMM/s1600/1.jpg
Penglipuran Village,Heritage and Culture,Bangli,25000,4.8,9693,https://goo.gl/maps/N4V3iVpFmGHWJDWN6,https://www.indonesia.travel/content/dam/indtravelrevamp/en/trip-ideas/experience-a-traditional-living-atmosphere-at-penglipuran-village-bali/image-1.jpg
Kahyangan Jagat,Heritage and Culture,Tabanan,0,4.7,137,https://goo.gl/maps/46o12BCvTDjZruf16,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1
Yadnya Museum,Heritage and Culture,Badung,0,4.7,14,https://goo.gl/maps/ae3czmWcYeVEkeuM9,https://indonesiakaya.com/wp-content/uploads/2020/10/7__IMG_7743_Sejumlah_koleksi_ogoh-ogoh_yang_merupakan_bagian_dari_perangkat_dari_ritual_bhuta_yadnya_2.jpg
Tegallingah Cliff Temple,Heritage and Culture,Gianyar,0,4.6,14,https://goo.gl/maps/sLC6e3hTNQJGXYkz6,https://balitripholidays.files.wordpress.com/2016/02/6.jpg
Bajra Sandhi Monument,Heritage and Culture,Denpasar,0,4.6,12047,https://goo.gl/maps/RK5iLNcBxvkMcVeZ9,https://asset.kompas.com/crops/0kZ_Ah3oLQiKbkJ5qKbxLQfgIXA=/0x51:1000x717/750x500/data/photo/2020/02/26/5e563a3db63aa.jpg
Kereban Langit,Heritage and Culture,Badung,0,4.7,200,https://goo.gl/maps/BsyR4Arbc8RxUyDy6,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Kereban-Langit-di-dalam-goa.jpg
Pantai Segara Ayu,Beach,Denpasar,3000,4.5,1714,https://goo.gl/maps/EKrMZwZaKdrQpygy8,https://lh5.googleusercontent.com/p/AF1QipPP-MV7qIEUvPqOoUqOgc2j8gI_MvxuHKSVUAAA=w408-h306-k-no
Pantai Mertasari,Beach,Denpasar,2000,4.4,543,https://goo.gl/maps/6weUNTz264wL1vwHA,https://lh5.googleusercontent.com/p/AF1QipOWodl_I1o3c2S8BrtYBjScS6IBYOkcbfOufj9T=w408-h306-k-no
Pantai Matahari Terbit,Beach,Denpasar,2000,4,11,https://goo.gl/maps/ZJLCmByKjAQ5uhb29,https://lh5.googleusercontent.com/p/AF1QipNbzKbujmzki2P7kA6KcKIhgYCHul3tWC8Ii3fy=w426-h240-k-no
Pantai Biaung,Beach,Denpasar,2000,4.2,507,https://goo.gl/maps/JDyeY2Mcufs6veRR9,https://lh5.googleusercontent.com/p/AF1QipOywG2rRR9oyg6JsqafmKpcCZxtr5eAs-xu5faX=w408-h306-k-no
Pantai Padang Galak,Beach,Denpasar,5000,4.6,117,https://goo.gl/maps/gQQoN7ugUF7RG2dh9,https://lh5.googleusercontent.com/p/AF1QipMkb6oHRe1u3Xknj4XGHZt96XHkY__PXFJCqnDw=w425-h240-k-no
Pantai Sanur,Beach,Denpasar,10000,4.5,1924,https://goo.gl/maps/LskttfqcvLgsK9TG7,https://www.bing.com/th?id=OIP.igVLTVJ4UDN7K_OQpir4sQHaFV&w=194&h=140&c=8&rs=1&qlt=90&o=6&pid=3.1&rm=2
Pantai Indah,Beach,Denpasar,2000,0,0,https://goo.gl/maps/4B86VhDa6sfedgLG8,https://indonesia.tripcanvas.co/id/bali/pantai-tersembunyi/
Pantai Sindhu,Beach,Denpasar,2000,4.6,716,https://goo.gl/maps/Abdxyxex9Q85RKoE7,https://lh5.googleusercontent.com/p/AF1QipNAmePP4rI9XTH86tC77wQe9i_Sz-OYZ3bHS1wg=w408-h306-k-no
Pantai Karang,Beach,Denpasar,2000,4.6,4419,https://goo.gl/maps/doVoQJacfHu2oAvk8,https://lh5.googleusercontent.com/p/AF1QipM2zB4hClaQDdTfSehphOGKt50RBHyRFxNWfTLf=w408-h306-k-no
Pantai Yeh Gangga,Beach,Tabanan,2000,4.4,1107,https://goo.gl/maps/rSnqiW4RYoWfQUQXA,https://lh5.googleusercontent.com/p/AF1QipNEDbMs2uJtztzJCqk1BoIVurgpcojeS5hiJxm5=w426-h240-k-no
Pantai Batu Tampih,Beach,Tabanan,2000,4.5,105,https://goo.gl/maps/FutA5TXnG4LTF2pz5,https://lh5.googleusercontent.com/p/AF1QipMAN8w72eIFOQwuL3x6JmrOSL9XkyGmRTf6DBz9=w427-h240-k-no
Pantai Soka,Beach,Tabanan,2000,4.2,1229,https://goo.gl/maps/Hims7WConruogm2BA,https://lh5.googleusercontent.com/p/AF1QipODZjIs11ZBN6BXxQ2-s2ZyNBONsdDN2z-Em0q5=w408-h244-k-no
Pantai Pasut,Beach,Tabanan,2000,4.4,863,https://goo.gl/maps/peqDuKEnQCoqiqNU9,https://lh5.googleusercontent.com/p/AF1QipMP9yzgvvi63LLQgCKJ9jGVjLiPQ4Mc6DL1X6gM=w408-h306-k-no
Pantai Kelating,Beach,Tabanan,2000,4.4,505,https://goo.gl/maps/TFFp5VDAwWZzgbN39,https://lh5.googleusercontent.com/p/AF1QipOQFDp0YJuUKhLCDvYluYOUwlvsHCfCa8eEUZdv=w408-h305-k-no
Pantai Melasti,Beach,Badung,15000,4.8,7375,https://goo.gl/maps/3SDYZwma2fUUmmWXA,https://lh5.googleusercontent.com/p/AF1QipOoTSCx5oVKsP_R8YT3jYMNwiGGMhXTzfcV9L6q=w408-h306-k-no
Pantai Balian,Beach,Tabanan,5000,4.5,651,https://goo.gl/maps/NvuC1gfDuzH8qqy7A,https://lh5.googleusercontent.com/p/AF1QipPI7soQv81Ffj5tL5jE5uTFdn-brV7SWKGvy60C=w514-h240-k-no
Pantai Kedungu,Beach,Tabanan,2000,4.5,1637,https://goo.gl/maps/UHJgrQaqqVHY4dm26,https://lh5.googleusercontent.com/p/AF1QipN-ibDbRj48j0gG42Bak9iIe1Msbz_4BLM3JCwb=w408-h306-k-no
Pantai Goa Lawah,Beach,Klungkung,2000,4.4,200,https://goo.gl/maps/UipkCdXR7PQg7FGS9,https://lh5.googleusercontent.com/p/AF1QipPXRF5sLyePoQCswX79cBeftsdZk1ENpegpbp1F=w408-h306-k-no
Pantai Sidayu,Beach,Klungkung,5000,4.3,67,https://goo.gl/maps/Pd7pFMH2agTxDAzF9,https://lh5.googleusercontent.com/p/AF1QipPa9M9VUp6D9ITpZkfXpJxbUosmodk1-IiF999y=w408-h306-k-no
Pantai Lepang,Beach,Klungkung,2000,4.4,159,https://goo.gl/maps/djgCqZJVd3CBzKUF6,https://lh5.googleusercontent.com/p/AF1QipNE-MUU2m2PV904LHpyXlq9J5rtO6nksl-XOIAa=w408-h306-k-no
Pantai Tegal Besar,Beach,Klungkung,2000,4.5,66,https://goo.gl/maps/5YWY4pHbGwvs8i1t9,https://lh5.googleusercontent.com/p/AF1QipPM9urVrZXIkzpsrW5ZC6uxOJCLebU0p1KSlFg8=w408-h306-k-no
Pantai Bias Putih,Beach,Karangasem,5000,4.5,8,https://goo.gl/maps/Z7NSt9cUtCDw3TnC6,https://lh5.googleusercontent.com/p/AF1QipOqeXFt7jUhGAexrlK_P3AXEG1nO44pZTDlAq0n=w408-h306-k-no
Pantai Blue Lagoon,Beach,Karangasem,2000,4.2,3239,https://goo.gl/maps/AnRy7hGmLzVwgS1o6,https://lh5.googleusercontent.com/p/AF1QipMBPauAwDF1PRjegt7_509M9I4g8T4e8vdNCpfA=w408-h306-k-no
Pantai Bias Tugel,Beach,Karangasem,5000,4.5,1398,https://goo.gl/maps/tRjdKB9eFLnavU2T9,https://lh5.googleusercontent.com/p/AF1QipMgqzLuI5SGEyP3GEsZXt2R6xDdgQPCYEnSzJHn=w408-h306-k-no
Pantai Tulamben,Beach,Karangasem,2000,4.6,157,https://goo.gl/maps/HEkK19hx6EmetJns5,https://lh5.googleusercontent.com/p/AF1QipPIat753YqpoIRn4JF8tcMtn1QHsuetFWf22MM0=w408-h306-k-no
Pantai Lovina,Beach,Buleleng,2000,4.4,701,https://goo.gl/maps/XbaGKDNRZp4UCsvf6,https://lh5.googleusercontent.com/p/AF1QipPH-Sl9R00Asfq7b0e4RkYg2VBWWlv6KCtvmfGo=w408-h306-k-no
Pantai Pemuteran,Beach,Buleleng,2000,4.4,236,https://goo.gl/maps/orKz9WZ2j7CZmJX89,https://lh5.googleusercontent.com/p/AF1QipOYntQf0URVExvcWYuz5zvDMHwOa829A9pCmTk2=w408-h544-k-no
Pantai Batu Ampar,Beach,Buleleng,5000,4,8,https://goo.gl/maps/vdSep3usSeJjiT2P6,https://lh5.googleusercontent.com/p/AF1QipPWY5hMXQQYi9pFWzer8yAaDdDdoSfLfTTF-3gO=w426-h240-k-no
Pantai Penimbangan,Beach,Buleleng,2000,4.4,1709,https://goo.gl/maps/NQfTkDhSNLmbTUFd8,https://lh5.googleusercontent.com/p/AF1QipNYfJmHH96A2AyyyYVb4vk5YQC-efm8mGtLlTdL=w408-h306-k-no
Pantai Perancak,Beach,Jembrana,2000,4.5,42,https://goo.gl/maps/AEYiqZK4gYkdxfrL7,https://lh5.googleusercontent.com/p/AF1QipMtOZt5BBghgpy2SfGHq5dv8ZZ--PuJj-xGex7-=w426-h240-k-no
Pantai Yeh Leh,Beach,Tabanan,1000,4.7,4.1,https://goo.gl/maps/gRSzABtg1ZTCJ7mn6,https://lh5.googleusercontent.com/p/AF1QipNVvuBwLI7sBEm72s97lZv7_S2GPfVwPQ1y01GB=w408-h906-k-no
Pantai Madewi,Beach,Jembrana,2000,4.5,620,https://goo.gl/maps/MXETX8rzX2KVxiCM8,https://lh5.googleusercontent.com/p/AF1QipN25RM6fzu08YpkQkypnEE4pKJQ31XSDAsg6pPO=w408-h408-k-no
Pantai Baluk Rening,Beach,Jembrana,5000,4.2,410,https://goo.gl/maps/GFmrnBAhtZsCgqsK7,https://lh5.googleusercontent.com/p/AF1QipOV73J3ifF8o995xhf02jcKhFB2uKc7NeKysqw=w408-h272-k-no
Pantai Masceti,Beach,Gianyar,2000,4.4,980,https://goo.gl/maps/cYsHkffyTek9AbmW9,https://lh5.googleusercontent.com/p/AF1QipOncD8ViPb17UOsXBSv-3YRKx39mgZlBkrsmn9N=w426-h240-k-no
Pantai Keramas,Beach,Gianyar,2000,4.5,525,https://goo.gl/maps/LzLEA79For1yPxaX8,https://lh5.googleusercontent.com/p/AF1QipO-xnaAPkvKdGFxcPpiOR1rB9WIBsYEeT2oEK38=w408-h305-k-no
Pantai Siyut,Beach,Gianyar,2000,4.2,335,https://goo.gl/maps/QFDS3WyLZK7uTGNQA,https://lh5.googleusercontent.com/p/AF1QipM4NB3Q8lA2NcN--fikBV20ozx9EelzVf54x9rf=w426-h240-k-no
Pantai Cucukan,Beach,Gianyar,2000,4.2,202,https://goo.gl/maps/gQEvTTS5opePQ1HH6,https://lh5.googleusercontent.com/p/AF1QipOA3M3Q_IP2WFxX96YR2arj46uDqgTk6WLXeZLO=w408-h544-k-no
Pantai Tanjung Benoa,Beach,Badung,2000,4.5,149,https://goo.gl/maps/JH3EtPrZJLqSfvZd7,https://lh5.googleusercontent.com/p/AF1QipMCFY2s5MIwgrmvx26DddeQBxgG1_wYxKgF2Eet=w408-h306-k-no
Pantai Nusa Dua,Beach,Badung,2000,4.6,413,https://goo.gl/maps/Sh595VQXQJdpnR2J7,https://lh5.googleusercontent.com/p/AF1QipPuzbIhTcl0wHWrVYqGMYsKS63IC1Ic_5HNYBdq=w408-h544-k-no
Pantai Dreamland,Beach,Badung,5000,4.5,5557,https://goo.gl/maps/JF6PtHFYm48741bc6,https://lh5.googleusercontent.com/p/AF1QipMPAFhaNwiicq1Qfn7b01NqxUoJ6w3hA4vG8bsY=w408-h306-k-no
Pantai Grean Bowl,Beach,Badung,5000,4.6,2132,https://goo.gl/maps/M6SDwG7isZjXABkXA,https://lh5.googleusercontent.com/p/AF1QipNbiGgVTZyeb-fIXOML7s6mtOE-pXX2Kz5crPq6=w408-h305-k-no
Pantai Pandawa,Beach,Badung,10000,4.6,7023,https://goo.gl/maps/JLzBAA9nKaF377d58,https://lh5.googleusercontent.com/p/AF1QipOtJqMvVfPAN39QpdJhUDukfEZQSm6ykgDdZL3U=w408-h544-k-no
Pantai Suluban,Beach,Badung,5000,4.7,830,https://goo.gl/maps/fmuJzeZWHyMPHVRo9,https://lh5.googleusercontent.com/p/AF1QipN4qrzujnuKVnwhZ6EmhAjlGQUGKtYiP3yEMS0t=w408-h496-k-no
Pantai Kuta,Beach,Badung,5000,4.7,36749,https://goo.gl/maps/GHHMcGQsEyKxPtSS7,https://lh5.googleusercontent.com/p/AF1QipMy0QGYXgcBlH8rwMCMef63_kqwuj36nlxTqh57=w426-h240-k-no
Pantai Tegal Wangi,Beach,Badung,5000,4.3,281,https://goo.gl/maps/wbibz9fDpUiEKxQn6,https://lh5.googleusercontent.com/p/AF1QipPSEAG0_1T1AjvbDeX8uqcw5iIl-wZp8uHs4yhH=w408-h510-k-no
Pantai Jimbaran,Beach,Badung,5000,4.6,1852,https://goo.gl/maps/ER5gwnHtS9WYPXdQ8,https://lh5.googleusercontent.com/p/AF1QipPlnm6b2T5OuKRvmHlEBF42oMuBKWikSy2z5hbE=w480-h240-k-no
