Nama,Category,Place,Price,Ratings,Comment,Link Gmaps,Images,Contact Person
Bali Exotic Marine Park,Nature,Tabanan,500000,4.7,267,https://g.page/balimarinepark?share,https://lh5.googleusercontent.com/p/AF1QipMpbms8y-Hx6k85FLl9-Xf6ds3Dn7BxxdeLltJ8=w360-h240-k-no,(0361)8468883
Bali Zoo,Nature,Gianyar,100000,4.4,1316,https://g.page/balizoo?share,https://lh5.googleusercontent.com/p/AF1QipPM0Sta1NfZaCHOz0PKEXXBZ2_ap5gnP4LzLOnh=w122-h92-k-no,(0316)294357
Bali Bird Park,Nature,Gianyar,100000,4.6,9112,https://g.page/balibirdparkofficial?share,https://lh5.googleusercontent.com/p/AF1QipNyW1-y75spQLV2hc_BBIE65x96lIT0y9Xy5RxS=w122-h92-k-no,(0361)299352
Bali Safari & Marine Park,Nature,Gianyar,155000,4.4,155120,https://goo.gl/maps/MB676RFfC4WKnBrp6,https://lh5.googleusercontent.com/p/AF1QipMKDijiTwFXPk-Ep7wjY6C28QXxM1bS-p5F8zrB=w122-h92-k-no,0812 3969 077
Turtel Park,Nature,Badung,200000,4.0,216,https://goo.gl/maps/U8KBDYjJjosgSKxa6,https://lh5.googleusercontent.com/p/AF1QipOO43kPiYSPW2wgRNU87XLp40B6V1DUVz4_2LwA=w189-h92-k-no,0855 3902 086
Bali Butterfly Park,Nature,Tabanan,150000,4.3,1009,https://g.page/balibutterflypark?share,https://lh5.googleusercontent.com/p/AF1QipPMELR-5Dnmkmnha19zA6GPPAcq8nRZ3qdfx0eq=w80-h100-k-no,08786 3075 006
Hidden Mini Zoo Bali,Nature,Gianyar,100000,4.6,152,https://g.page/hiddenminizoo?share,https://lh5.googleusercontent.com/p/AF1QipPT7Rdq7udiww_6rb2jdgSw6js3xPdZmeEsITjP=w80-h106-k-no,0851 2933 0025
Bali Reptile Park,Nature,Gianyar,200000,4.5,169,https://g.page/Balireptilepark?share,https://lh5.googleusercontent.com/p/AF1QipM_vxXkBf1g5cqSbmhTpHOWsBrAzx7-wZbyujIf=w138-h92-k-no,(0361)299344
Mandala Suci Wenara Wana,Nature,Gianyar,120000,4.5,34178,https://g.page/monkeyforestubud?share,https://lh5.googleusercontent.com/p/AF1QipO7d5akILNrynBXWvYEhPI3oMZEOkR2u5jGUkSR=w122-h92-k-no,(0361)971304
TASTAZOO | Taman Satwa Tabanan,Nature,Tabanan,125000,4.5,224,https://g.page/tastazoo?share,https://lh5.googleusercontent.com/p/AF1QipMOdTWtf_OwZrz7X8J2aYUcW3d-V2JSL82cdzvS=w80-h106-k-no,0811 3809 089
Objek Wisata Sangeh,Nature,Badung,100000,4.6,104,https://g.page/sangeh?share,https://lh5.googleusercontent.com/p/AF1QipO99W7yjBYtgwSlT2msL4a7qG6ZS66XQPwHTO0=w136-h92-k-no,0851 0042 2740
Balitopia Butterfly Park,Nature,Gianyar,200000,4.1,93,https://g.page/balitopia?share,https://lh5.googleusercontent.com/p/AF1QipMFGBKotMVcWCmg6nUVzr-_zXNpR8r3PKy_5f8j=w122-h92-k-no,(0361)4795777
Tiket Pulau Penyu,Nature,Badung,200000,4.5,63,https://goo.gl/maps/3Wb3PdjxzuYu8arh7,https://lh5.googleusercontent.com/p/AF1QipO77CgWVGYUdTQbTqwG-P3vaP4S89P4kIFE9kA5=w194-h92-k-no,0852 3765 8133
DELUANG SARI Penangkaran Penyu Bali Tanjung Benoa,Nature,Badung,150000,4.1,4340,https://goo.gl/maps/N2HYEWthqJPaQW2c9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.watersportbali.co.id%2Fdeluang-sari-turtle-farm-tempat-penangkaran-penyu-di-bali%2F&psig=AOvVaw3d-w2gWRVyZ1OEXhS16mQv&ust=1654227195217000&source=images&cd=vfe&ved=0CAwQjRxqFwoTCPi40NTqjfgCFQAAAAAdAAAAABAD,0815 5808 0876
Tegenungan Waterfall,Nature,Gianyar,120000,4.3,21539,https://g.page/tegenungan-waterfall?share,https://lh5.googleusercontent.com/p/AF1QipNDJJmoIQeDZRFiIoLHEoDoI_unXbuem4gia0yW=w163-h92-k-no,0833 5373 2389
Kurma Asih Sea Turtle Conservation Center,Nature,Jembrana,120000,4.7,228,https://goo.gl/maps/sL4VvZKtcipfVRgTA,https://lh5.googleusercontent.com/p/AF1QipOCPbfYty1oyfRCGe9EK6Dg5YluhEVnTG_7UpDK=w195-h143-p-k-no,0813 3841 0898
Taman Nasional Bali Bara,Nature,Jembrana,125000,4.5,2867,https://goo.gl/maps/VpNyutcgXWHF2GaE7,https://goo.gl/maps/Wy43sp7yj4ov6vVT7,(0365) 61060
Bali Bird Walks,Nature,Gianyar,150000,4.5,228,https://goo.gl/maps/K3vJGJnYNVavpAHW7,https://lh5.googleusercontent.com/p/AF1QipMf8qr4CbWklA3yFRvJBPm4PQGniVxS1M35PAyZ=w80-h142-k-no,(0361) 975009
Balai Pengelolaan Hutan Mangrove Wilayah I,Nature,Badung,100000,4.2,441,https://goo.gl/maps/onR1dEDfHgtEtDwd7,https://lh5.googleusercontent.com/p/AF1QipNpMebb5a5bPmRS4YDKT_qz5UTfjUKuBvHOOx1S=w138-h92-k-no,(0361) 726969
Hidden Canyon Beji Guwang,Nature,Gianyar,200000,4.5,2202,https://goo.gl/maps/EHezcB9hQeTshSNd8,https://lh5.googleusercontent.com/p/AF1QipNn3pykR2xKUbCMTKQ9TvQ89aiNR4Rq0a8spuIf=w122-h92-k-no,0813 38724285
Kokokan Heron Bird Colony Watch,Nature,Gianyar,200000,4.4,93,https://goo.gl/maps/RgRZsNcTcKURy6u37,https://lh5.googleusercontent.com/p/AF1QipM9QB7oND09FTNG4wnH7xJo5nyQvBydT7kJxdch=w80-h106-k-no,0878 62976331
Tambak Sari Turtle island,Nature,Badung,150000,4.0,18,https://www.google.com/maps/place/Tambak+Sari+Turtle+island/data=!4m6!3m5!1s0x2dd243ace7b1fea3:0xd05c890107a6cf6c!8m2!3d-8.7634212!4d115.2159586!16s%2Fg%2F11gt_zqgdt?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipN20tJGhKK9m8jqX4iKVdy05tvSZdkYWfGHNTtF=w122-h92-k-no,0819 1638 6576
Bali Shark Swimming,Nature,Tabanan,145000,4.0,8,https://www.google.com/maps/place/Bali+Shark+Swimming/data=!4m6!3m5!1s0x2dd24182f96037f7:0xac91c7efbbb8ed84!8m2!3d-8.7214329!4d115.2388328!16s%2Fg%2F11c5951cm1?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPiYHoThuVXyBD2ey-2w-7zwCbmfMqAZi0ZdHyf=w163-h92-k-no,0858 5732 0471
Air Terjun Jagasatru,Nature,Karangasem,20000,4.7,210,https://www.google.com/maps/place/Air+Terjun+Jagasatru/data=!4m6!3m5!1s0x2dd2057ac05b6f73:0x782d1dc9b59984c2!8m2!3d-8.4593053!4d115.5102254!16s%2Fg%2F11g8kstlg_?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPbMDO3uj1DuOp3MXnhwauA70hgaViucFm9Va4v=w80-h106-k-no,none
Tuwut,Nature,Tabanan,250000,4.8,48,https://www.google.com/maps/place/Tuwut/data=!4m6!3m5!1s0x2dd226e943143d9b:0x7fc7f1ef1efd0229!8m2!3d-8.387445!4d115.1617327!16s%2Fg%2F11c5bg8k0m?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNm1KuRF_qIdPJS4CIGhMR03hq7ZpIJEOI94Xfm=w122-h92-k-no,0812 3993 611
Telaga Waja Waterfall,Nature,Karangasem,30000,4.5,297,https://www.google.com/maps/place/Telaga+Waja+Waterfall/data=!4m6!3m5!1s0x2dd21af1043331df:0x984045c0d887ca61!8m2!3d-8.4460484!4d115.4344223!16s%2Fg%2F11ckw28n1w?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNbgRg6-OyVBJTCTBms8pKyNEvxCaSEjHVINVpz=w122-h92-k-no,0851 5612 9580
Twin Lake Wanagiri spot,Nature,Buleleng,120000,4.3,87,https://www.google.com/maps/place/Twin+Lake+Wanagiri+spot/data=!4m6!3m5!1s0x2dd18f509223d5df:0x18d277b54d79b946!8m2!3d-8.2451045!4d115.1020934!16s%2Fg%2F11d_7zgfnw?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPIM957VnvlgofmzrdhjyiTyWAGpi7ZL4uzm574=w80-h106-k-no,0818 0541 7953
Wisata Tukad Ngongkong,Nature,Badung,100000,4.5,75,https://www.google.com/maps/place/Wisata+Tukad+Ngongkong/data=!4m6!3m5!1s0x2dd221ca0b8c0129:0x6752d7505ef5c16b!8m2!3d-8.367475!4d115.2264884!16s%2Fg%2F11gy0f4478?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPR7Jsmly963YrirM2VXMAj8zFD8STINbEaDsLA=w163-h92-k-no,0831 1953 6667
Rumah Pohon Tamega,Nature,Karangasem,125000,4.1,398,https://www.google.com/maps/place/Rumah+Pohon+Temega/data=!4m6!3m5!1s0x2dd2065fde9384cb:0x8682d90060b7169f!8m2!3d-8.4232338!4d115.5923885!16s%2Fg%2F11c5_syk1f?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNBVzJNP1tGB8z7XJ8ekhToNQngOKkeUaDtCiTj=w122-h92-k-no,0852 3776 5727
Bukit Tengah,Nature,Klungkung,150000,4.6,215,https://www.google.com/maps/place/Bukit+Tengah/data=!4m6!3m5!1s0x2dd211fcfd8052c9:0x20b1fa269c4e4298!8m2!3d-8.5385763!4d115.4767876!16s%2Fg%2F11f39y80my?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPvXygqLDAmYWdzikfP_-KHnbsQQlO2Ea8qgwRz=w80-h106-k-no,none
Air Terjun Nungnung,Nature,Badung,20000,4.7,373,https://goo.gl/maps/DHBrS7nc2mDBFgFS9,https://www.gstatic.com/images/icons/material/system_gm/2x/menu_black_24dp.png,none
Tegenungan Waterfall,Nature,Gianyar,20000,4.3,22000,https://g.page/tegenungan-waterfall?share,https://lh5.googleusercontent.com/p/AF1QipNDJJmoIQeDZRFiIoLHEoDoI_unXbuem4gia0yW=w163-h92-k-no,none
Air Terjun Leke Leke,Nature,Tabanan,25000,4.5,850,https://goo.gl/maps/veszwwWfHgWdTr928,https://lh5.googleusercontent.com/p/AF1QipORzeS7q82KhsTUI-qG2O5HqKHRcqBJJAoy6Ewr=w80-h106-k-no,none
Banyumala Waterfall,Nature,Buleleng,30000,4.8,2174,https://goo.gl/maps/B5UAgYRDmUy9WhEGA,https://lh5.googleusercontent.com/p/AF1QipPfat6I6If8pdJS8vNbHoTCmBrusgbYx1NQliMU=w138-h92-k-no,none
Gitgit Waterfall,Nature,Buleleng,30000,4.3,1800,https://goo.gl/maps/76kVoxquc4td6sA76,https://lh6.googleusercontent.com/proxy/8IdHzlcBVnQmd38gCXjldBnkl1VRVp-qVz8XgEvq_PSR53B4WGromj8R_PnLAU2m2aFmC7MU-O8DADr2H9Wb_tP-9jkk0_1j9ggxykeXDQiXxJZNe0fy-IAJFRTqawHcc30ZnlKnvEbpnNiE4T0eq0GyFPOZsg=w138-h92-k-no,none
Air Terjun Jembong Ambengan,Nature,Buleleng,30000,4.5,649,https://goo.gl/maps/R7F5DUTVTf8B8qje7https://goo.gl/maps/R7F5DUTVTf8B8qje7,https://lh5.googleusercontent.com/p/AF1QipPIqHS0SdPTq6yc_ydtb59heZmKtF3JStSeLbAv=w90-h92-k-no,none





































